	sequences per sample	iteration	515rcbc12	515rcbc30	515rcbc15	515rcbc28	515rcbc25	515rcbc14	515rcbc31	515rcbc24	515rcbc22	515rcbc34	515rcbc23	515rcbc26	515rcbc29	515rcbc35	515rcbc10	515rcbc27	515rcbc17	515rcbc33	515rcbc19	515rcbc16	515rcbc32	515rcbc37	515rcbc13	515rcbc18	515rcbc9	515rcbc11	515rcbc21	515rcbc8	515rcbc36	515rcbc20
alpha_rarefaction_305_7.txt	305	7	43.93918	40.46389	39.00711	40.95092	34.77277	39.28752	39.18922	40.69383	42.14508	35.94867	41.33543	39.76804	44.92318	39.23066	37.5433	39.57993	39.90661	36.76635	38.70416	38.4788	36.34302	41.18226	42.59174	42.61228	43.44639	39.22811	43.80149	40.17412	34.19591	41.18817
alpha_rarefaction_305_8.txt	305	8	43.47636	43.04538	38.12647	38.5963	35.47331	40.10366	39.68283	39.21859	41.96392	36.2086	39.00241	37.02827	40.52081	37.47467	37.52863	40.53243	41.55217	39.70961	40.11281	36.66519	38.30065	40.07686	40.48811	38.36195	39.82468	38.75869	40.75547	42.45847	32.91082	39.70265
alpha_rarefaction_305_9.txt	305	9	42.24357	37.45904	41.19285	39.76716	33.78152	40.62265	37.86843	36.3433	43.24027	38.27655	42.59852	38.38677	40.30443	37.88511	40.95059	41.10969	40.13844	37.25513	45.42556	37.63822	37.40534	40.11867	39.89061	43.10078	41.97962	38.71773	38.38436	39.38934	39.76524	40.85682
alpha_rarefaction_364_0.txt	364	0	46.15196	40.54625	38.76773	45.89494	38.22254	43.28848	41.77686	44.89685	41.27171	43.90602	44.00197	43.38946	44.58872	39.70025	43.33101	45.06911	44.55362	42.55652	47.40987	41.56201	43.80743	45.65386	47.00611	44.6756	42.41731	42.45778	45.28998	43.44027	37.36642	46.59707
alpha_rarefaction_364_1.txt	364	1	50.19074	44.27658	43.00396	43.90303	37.97388	45.72614	42.36924	41.9427	42.66798	39.16404	43.27194	43.51655	45.54149	38.58332	41.6787	45.40832	43.24877	42.48849	45.64927	44.07718	42.85582	45.74243	47.18146	45.94704	45.44946	40.73784	45.97997	43.64891	39.06311	47.02279
alpha_rarefaction_364_2.txt	364	2	47.1463	41.61632	43.55388	43.18253	42.13859	45.6229	42.24382	43.06482	46.07567	41.89349	44.6208	42.59337	40.8244	39.54102	43.45609	44.20383	44.88696	44.82149	45.57956	42.93189	43.92183	45.34117	43.14154	45.19216	43.03902	39.89337	44.5224	44.30099	39.09142	45.39385
alpha_rarefaction_364_3.txt	364	3	50.07737	42.84549	43.58716	42.75859	38.23098	44.59144	44.88975	41.5768	42.46092	45.33576	46.15137	41.33693	44.53326	43.24241	39.04675	47.15562	42.86977	43.67517	45.58035	42.03676	40.87182	47.54473	40.52915	48.63756	46.06562	42.87938	44.85864	41.05409	38.89605	47.69839
alpha_rarefaction_364_4.txt	364	4	51.65264	42.06206	42.44872	45.38178	41.37492	45.86012	43.64145	43.2568	46.2379	40.76103	47.14777	40.90416	44.52805	42.47433	42.48115	44.23327	43.24252	45.17143	46.58935	43.56847	41.11831	45.28846	47.12709	45.65272	47.20652	41.55708	47.40789	46.57067	34.2454	48.66445
alpha_rarefaction_364_5.txt	364	5	54.41329	41.45489	43.7909	45.00021	43.24744	45.21104	44.21909	45.03073	42.05361	44.49245	47.03134	40.46523	47.07334	40.38585	44.47677	44.3505	40.54544	42.29413	45.70011	44.65411	36.57667	47.23783	40.22782	48.47111	45.7347	43.09366	44.89801	41.265	34.47616	46.2608
alpha_rarefaction_364_6.txt	364	6	45.95508	43.69243	43.00962	42.3739	41.82962	45.70292	41.1312	44.51195	45.61025	46.57062	49.68571	41.29605	43.78301	41.43281	42.03624	45.68454	40.65282	45.33866	44.88419	45.04512	41.60169	45.60357	42.43541	45.16358	43.694	44.30522	45.99504	43.79278	36.74526	46.04213
alpha_rarefaction_364_7.txt	364	7	53.83898	43.54818	44.45596	42.20398	38.31051	44.88715	40.34928	41.83993	44.59926	42.65899	46.01048	43.70147	44.18725	39.18234	43.73048	44.15574	43.32048	44.68942	46.25584	46.83735	43.70621	45.42134	50.00075	43.31769	43.81494	45.22792	46.09543	40.77797	35.57691	45.43756
alpha_rarefaction_364_8.txt	364	8	48.23558	42.53229	46.3313	47.21706	40.6044	47.2701	41.80524	43.90108	45.25336	42.82623	42.80845	40.85468	46.24195	38.03619	44.22913	46.81229	43.56649	43.21613	47.77218	41.14839	39.86008	48.9544	46.36153	48.45412	44.15098	41.55524	41.95581	45.14049	38.35908	44.61716
alpha_rarefaction_364_9.txt	364	9	50.17998	42.55095	44.94077	44.12441	37.81331	44.95285	38.83196	42.481	47.70117	42.05189	45.45791	41.84817	45.40967	38.81448	42.04609	45.07228	45.20294	40.91897	46.0911	43.96374	41.12125	47.0223	45.20383	45.21131	46.87304	43.72786	43.02118	41.23343	38.39881	46.36424
