	sequences per sample	iteration	515rcbc12	515rcbc30	515rcbc15	515rcbc28	515rcbc25	515rcbc14	515rcbc31	515rcbc24	515rcbc22	515rcbc34	515rcbc23	515rcbc26	515rcbc29	515rcbc35	515rcbc10	515rcbc27	515rcbc17	515rcbc33	515rcbc19	515rcbc16	515rcbc32	515rcbc37	515rcbc13	515rcbc18	515rcbc9	515rcbc11	515rcbc21	515rcbc8	515rcbc36	515rcbc20
alpha_rarefaction_246_9.txt	246	9	1108.88235294	512.869565217	598.888888889	463.875	485.5	693.473684211	977.666666667	616.619047619	706.25	751.25	741.75	601.714285714	605.681818182	660.0625	799.647058824	745.789473684	675.142857143	962.571428571	917.25	415.1	513.869565217	815.0	581.444444444	1047.57142857	651.55	676.789473684	711.2	747.25	525.555555556	677.142857143
alpha_rarefaction_305_0.txt	305	0	1017.44444444	604.5	590.6875	528.405405405	625.25	584.344827586	732.730769231	767.037037037	678.111111111	597.107142857	746.1	668.24	1111.3	548.833333333	794.884615385	611.5	843.476190476	630.333333333	706.517241379	945.333333333	777.84	654.756756757	621.896551724	570.153846154	747.1	692.0	700.724137931	791.965517241	668.476190476	596.454545455
alpha_rarefaction_305_1.txt	305	1	1198.13043478	491.090909091	677.0	698.935483871	618.444444444	854.666666667	879.894736842	1189.16666667	751.538461538	650.1	521.941176471	611.041666667	592.636363636	791.052631579	528.294117647	696.214285714	1142.875	584.517241379	890.1	678.535714286	745.130434783	653.303030303	821.75	615.028571429	808.307692308	857.5	541.228571429	904.142857143	533.956521739	693.387096774
alpha_rarefaction_305_2.txt	305	2	1020.80769231	1016.5	717.222222222	554.0	728.434782609	879.454545455	610.193548387	1017.5	870.681818182	670.848484848	866.0	666.37037037	564.447368421	625.807692308	802.444444444	1167.05	712.344827586	590.107142857	870.896551724	977.954545455	717.791666667	759.103448276	596.444444444	687.357142857	649.451612903	635.903225806	545.636363636	666.0	570.05	606.117647059
alpha_rarefaction_305_3.txt	305	3	1350.31578947	579.206896552	578.394736842	723.451612903	589.517241379	742.115384615	680.6	724.375	572.794117647	1109.8125	647.15625	571.5	1053.39130435	703.565217391	820.913043478	635.285714286	695.84	699.565217391	857.24	786.541666667	608.2	868.391304348	578.096774194	692.214285714	738.666666667	967.142857143	814.652173913	831.916666667	690.0	614.333333333
alpha_rarefaction_305_4.txt	305	4	997.0	590.6	772.8	684.870967742	718.2	651.137931034	580.344827586	1099.05555556	686.2	578.206896552	629.7	727.375	834.037037037	1105.0	873.681818182	939.64	949.333333333	850.285714286	1000.43478261	755.0	681.6	949.2	685.535714286	599.0	680.4	882.791666667	643.5	879.615384615	540.307692308	715.28125
alpha_rarefaction_305_5.txt	305	5	972.533333333	782.607142857	608.0	665.0	647.0	791.5	721.076923077	761.666666667	810.896551724	928.714285714	773.75	619.896551724	728.035714286	612.384615385	758.8	641.090909091	687.357142857	848.285714286	767.206896552	534.088235294	817.0	1073.18181818	604.032258065	1559.66666667	828.75	855.24	645.96875	541.6	448.230769231	690.666666667
alpha_rarefaction_305_6.txt	305	6	1006.46428571	527.607142857	732.555555556	709.344827586	780.625	643.0	851.375	719.791666667	686.6	816.333333333	866.5	650.0	629.6875	840.0	565.0	852.375	993.714285714	695.12	761.5	808.12	595.107142857	756.535714286	621.75	930.714285714	737.0	804.551724138	866.4	701.384615385	541.565217391	463.666666667
alpha_rarefaction_305_7.txt	305	7	979.5	1024.52631579	555.428571429	845.956521739	821.0	697.384615385	631.0	817.625	782.888888889	558.64	859.24	762.44	740.2	693.84	621.896551724	565.588235294	632.25	660.956521739	1195.58823529	781.888888889	632.576923077	857.5	755.538461538	781.3125	759.666666667	619.6	559.073170732	784.230769231	759.25	673.21875
alpha_rarefaction_305_8.txt	305	8	882.035714286	980.130434783	640.357142857	509.323529412	637.137931034	722.652173913	624.59375	771.12	892.25	589.444444444	713.8	762.0	678.75	636.04	724.652173913	1016.55	780.043478261	818.0	918.434782609	667.222222222	938.882352941	722.636363636	682.387096774	617.03030303	794.4	798.5	558.717948718	965.0	489.555555556	565.588235294
